time,disMax,disMin,disAvg,disInter,disStd,speedAvg,vMax,vMaxPos,vMin,vAvg,vInter,vStd,vEqualPer,vPre5,vPre5DivVmax,vPre5DivVmin,vPost10,vPost10DivVmax,vPost10DivVmin,vdMax,vdMin,vdInter,vdAvg,vdStd,vdEqualPer,yMax,yMin,yAvg,yStd,yInter,yTotalDis,yv,yTotalDisAvg,yDisMax,yDisEqualPer,yvAvg,yvStd
1.51,15.0,0.0,4.53,15.0,5.03,0.04,0.88,0.13,0.0,0.25,0.88,0.31,0.0,0.07,0.82,0.07,0.0,0.88,0.0,0.82,0.01,0.81,0.15,0.21,0.0,2.0,-2.0,1.06,1.25,4.0,6.0,0.0,0.4,2.0,0.67,0.01,0.03
1.42,12.0,1.0,2.91,11.0,3.27,0.18,1.71,0.53,0.0,0.33,1.71,0.43,0.27,0.11,1.6,0.11,0.04,1.67,0.04,0.8,0.0,0.8,0.11,0.15,0.21,0.0,-9.0,-6.98,3.01,9.0,9.0,0.01,0.1,1.0,0.9,0.01,0.04
3.0,4.0,0.0,1.34,4.0,1.2,0.05,0.44,0.05,0.0,0.08,0.44,0.08,0.13,0.17,0.27,0.17,0.01,0.44,0.01,0.31,0.0,0.31,0.04,0.04,0.2,2.0,-4.0,0.11,1.84,6.0,16.0,0.01,0.14,2.0,0.86,0.01,0.02
2.32,8.0,0.0,1.22,8.0,1.54,0.08,3.5,0.1,0.0,0.19,3.5,0.39,0.31,0.11,3.39,0.11,0.0,3.5,0.0,3.5,0.0,3.5,0.17,0.46,0.2,0.0,-4.0,-2.03,1.1,4.0,4.0,0.0,0.03,1.0,0.97,0.0,0.02
2.75,19.0,0.0,1.66,19.0,3.0,0.09,0.79,0.02,0.0,0.09,0.79,0.14,0.45,0.4,0.39,0.4,0.0,0.79,0.0,0.54,0.0,0.54,0.04,0.08,0.45,19.0,0.0,8.71,4.54,19.0,32.0,0.01,0.22,3.0,0.82,0.01,0.03
3.0,22.0,1.0,5.05,21.0,5.94,0.08,3.0,0.26,0.0,0.61,3.0,0.77,0.12,0.79,2.21,0.79,0.0,3.0,0.0,1.0,0.0,1.0,0.19,0.25,0.11,12.0,-3.0,8.54,5.82,15.0,18.0,0.01,0.31,4.0,0.84,0.04,0.1
2.72,8.0,0.0,1.74,8.0,1.9,0.05,0.5,0.06,0.0,0.1,0.5,0.12,0.14,0.29,0.21,0.29,0.0,0.5,0.0,0.15,0.0,0.15,0.04,0.03,0.21,15.0,0.0,11.96,2.91,15.0,19.0,0.01,0.25,2.0,0.81,0.02,0.03
2.14,9.0,0.0,3.45,9.0,2.35,0.1,1.29,0.44,0.0,0.42,1.29,0.33,0.0,0.31,0.97,0.31,0.01,1.28,0.01,1.06,0.01,1.06,0.19,0.18,0.06,0.0,-38.0,-23.11,11.26,38.0,40.0,0.02,0.63,3.0,0.55,0.08,0.11
2.29,2.0,0.0,1.01,2.0,0.26,0.06,2.0,0.13,0.0,0.35,2.0,0.34,0.11,0.1,1.9,0.1,0.01,1.99,0.01,2.0,0.0,2.0,0.32,0.37,0.15,0.0,-5.0,-4.53,1.18,5.0,5.0,0.0,0.04,1.0,0.96,0.01,0.06
2.24,3.0,0.0,1.46,3.0,0.62,0.05,1.0,0.16,0.0,0.25,1.0,0.19,0.11,0.03,0.97,0.03,0.0,1.0,0.0,0.9,0.0,0.9,0.15,0.17,0.12,4.0,0.0,2.71,1.51,4.0,6.0,0.0,0.08,1.0,0.92,0.01,0.07
