time,disMax,disMin,disAvg,disInter,disStd,speedAvg,vMax,vMaxPos,vMin,vAvg,vInter,vStd,vEqualPer,vPre5,vPre5DivVmax,vPre5DivVmin,vPost10,vPost10DivVmax,vPost10DivVmin,vdMax,vdMin,vdInter,vdAvg,vdStd,vdEqualPer,yMax,yMin,yAvg,yStd,yInter,yTotalDis,yv,yTotalDisAvg,yDisMax,yDisEqualPer,yvAvg,yvStd
1.63,2.0,1.0,1.08,1.0,0.27,0.04,0.5,0.2,0.0,0.18,0.5,0.12,0.14,0.16,0.34,0.16,0.01,0.49,0.0,0.33,0.0,0.33,0.09,0.09,0.11,0.0,-1.0,-0.09,0.29,1.0,1.0,0.0,0.02,1.0,0.98,0.0,0.03
1.38,13.0,0.0,3.47,13.0,4.49,0.13,4.0,0.15,0.0,0.64,4.0,1.01,0.26,0.27,3.73,0.27,0.0,4.0,0.0,4.0,0.0,4.0,0.69,1.08,0.2,0.0,-7.0,-4.44,2.13,7.0,7.0,0.01,0.14,2.0,0.88,0.02,0.09
2.42,8.0,0.0,1.07,8.0,1.57,0.05,0.64,0.07,0.0,0.07,0.64,0.11,0.17,0.03,0.6,0.03,0.0,0.63,0.0,0.34,0.0,0.34,0.07,0.08,0.24,0.0,-8.0,-7.21,2.26,8.0,8.0,0.0,0.07,2.0,0.94,0.01,0.02
1.2,8.0,1.0,2.24,7.0,1.53,0.19,1.0,0.07,0.01,0.27,0.99,0.22,0.03,0.23,0.77,0.23,0.03,0.97,0.02,0.5,0.0,0.5,0.13,0.11,0.12,0.0,-25.0,-17.01,6.82,25.0,25.0,0.02,0.25,1.0,0.75,0.03,0.06
2.61,4.0,0.0,1.83,4.0,0.95,0.09,2.0,0.75,0.0,0.25,2.0,0.25,0.13,0.05,1.95,0.05,0.01,1.99,0.01,2.0,0.0,2.0,0.19,0.3,0.15,11.0,0.0,6.72,4.18,11.0,11.0,0.0,0.09,1.0,0.91,0.01,0.04
2.32,11.0,0.0,1.78,11.0,1.71,0.07,3.0,0.08,0.0,0.52,3.0,0.53,0.12,0.53,2.47,0.53,0.01,2.99,0.01,2.33,0.0,2.33,0.35,0.48,0.11,2.0,-1.0,0.59,1.2,3.0,8.0,0.0,0.09,1.0,0.91,0.04,0.15
1.92,6.0,0.0,1.88,6.0,1.12,0.12,0.75,0.55,0.0,0.22,0.75,0.16,0.06,0.07,0.68,0.07,0.03,0.72,0.03,0.63,0.0,0.63,0.13,0.12,0.13,19.0,0.0,7.71,5.84,19.0,19.0,0.01,0.16,2.0,0.86,0.02,0.05
1.22,9.0,0.0,1.44,9.0,1.38,0.19,2.0,0.11,0.0,0.4,2.0,0.3,0.15,0.35,1.65,0.35,0.03,1.97,0.03,1.5,0.0,1.5,0.22,0.25,0.16,1.0,-7.0,-3.16,3.25,8.0,9.0,0.01,0.06,1.0,0.94,0.02,0.11
1.11,27.0,1.0,3.6,26.0,4.51,0.14,27.0,0.02,0.0,1.14,27.0,4.15,0.15,2.56,24.44,2.56,0.24,26.76,0.23,26.29,0.0,26.29,1.17,4.11,0.03,2.0,-5.0,-3.67,2.11,7.0,12.0,0.01,0.29,3.0,0.81,0.1,0.46
1.08,3.0,0.0,1.42,3.0,0.63,0.19,0.75,0.23,0.0,0.32,0.75,0.2,0.29,0.12,0.63,0.12,0.04,0.71,0.04,0.5,0.0,0.5,0.15,0.15,0.41,4.0,-1.0,0.76,1.68,5.0,9.0,0.01,0.06,1.0,0.94,0.01,0.05
3.0,10.0,0.0,2.11,10.0,2.45,0.1,0.64,0.14,0.0,0.12,0.64,0.15,0.19,0.45,0.2,0.45,0.01,0.63,0.01,0.31,0.0,0.31,0.06,0.06,0.27,20.0,-4.0,13.41,6.58,24.0,50.0,0.02,0.33,3.0,0.72,0.02,0.03
